idarticulo;descripcion;referencia;codigoalfanumerico;codigobarra;estado;observacion;idmarca;idlinea;idseccion;idtipo;idunidad;idimpuesto
42;HARINA LEUDANTE 1 KG;;42;;A;;1;2;1;2;1;2
43;HARINA 1 KG 000 RAYOS DEL SOL;;43;;A;;1;1;1;2;1;2
44;HARINA DE 5 KG 000 RAYOS DEL SOL;;44;;A;;1;1;1;2;1;2
45;ENVASES DE 1K LEUDANTE;;45;;A;;4;2;1;1;1;3
46;ANALISIS FALING GLUTEN UMEDAD;;46;;A;;5;1;1;4;1;3
47;PAN DULCE DE NAVIDAD;;47;;A;;1;2;1;4;1;3
48;HARINA DE 50 KG 0000 INDUSTRIAL;;48;;A;;1;2;1;2;1;2
49;BOLSAS IND.50KG;;49;;A;;4;2;1;1;1;3
50;HARINA FIDERA TIPO 00 50 KG;;50;;A;;1;1;1;2;1;2
51;TRIGO 2015;;51;;A;;3;4;1;1;1;1
52;HARINA DE 50 KG 0000 HIL AGRO;;52;;A;;1;2;1;2;1;2
53;HARINA DE 50 KG 000  MARELA;;53;;A;;1;1;1;2;1;2
54;TERMOS  AGRO ECO S.R.L.;;54;;A;;4;1;1;4;1;3
55;SERV. PRESTAR  AIRE;;55;;A;;3;4;1;4;1;3
56;BOLSAS CRISTAL;;56;;A;;1;1;1;1;1;3
57;HARINA TIPO 00 A GRANEL;;57;;A;;1;1;1;2;1;2
58;ANALISES  SENIZA;;58;;A;;5;1;1;4;1;3
59;SERVICIO  ,  FLETES;;59;;A;;1;1;1;4;1;3
60;INTERES COBRADOS;;60;;A;;1;1;1;1;1;3
61;HARINA  INTEGRAL X KG;;61;;A;;1;1;1;2;1;2
62;HARINA SALVADO X  KG;;62;;A;;1;1;1;1;1;2
63;ENVASES LIDER DE 1KG 000;;63;;A;;4;1;1;1;1;3
64;HARINA LIDER DE 1 KG TIPO 000;;64;;A;;1;1;1;2;1;2
65;ENVASES LIDER DE 5 KG 000;;65;;A;;4;1;1;1;1;3
66;HARINA LIDER DE 5 KG TIPO 000;;66;;A;;1;1;1;1;1;2
67;HARINA LIDER DE 5 KG TIPO 0000;;67;;A;;1;2;1;1;1;2
68;HARINA LIDER DE 1 KG TIPO 0000;;68;;A;;1;2;1;1;1;2
69;ENVASES LIDER DE 1KG 0000;;69;;A;;4;2;1;1;1;3
70;ENVASES LIDER DE 5KG 0000;;70;;A;;4;2;1;1;1;3
71;LLANTAS PARA CAMION;;71;;A;;3;4;1;1;1;3
72;KEPIS AGRO ECO SRL;;72;;A;;3;1;1;4;1;3
73;SIDRA  PREFERIDA;;73;;A;;3;4;1;4;1;3
74;CUBIERTAS MICHELIN 315 / 80 R22.5;;74;;A;;6;4;1;1;1;3
75;CUBIERTAS CHINO LISO 295/80 R22.5;;75;;A;;7;4;1;1;1;3
76;CUBIERTAS MICHELIN 295 /80 R22.5;;76;;A;;6;4;1;1;1;3
77;CUBIERTAS CHINO TAQUITOS 295/80 R22.5;;77;;A;;8;4;1;1;1;3
78;CUBIERTAS CHINO LISO 315/80 R22.5;;78;;A;;7;4;1;1;1;3
79;CUBIERTA TRACCION CHINO 315/80 R22.5;;79;;A;;8;4;1;1;1;3
80;ALMIDON DE MANDIOCA 25KG. DULCE;;80;;A;;9;1;1;2;1;2
81;BOLSAS BLANCAS DE HARINA 50KG;;81;;A;;4;1;1;1;1;3
82;TRIGO 2017;;82;;A;;3;4;1;1;1;2
83;SERVICIOS DE TELEFONIA;;83;;A;;3;4;1;4;1;3
84;SILLAS  PLASTICO;;84;;A;;3;4;1;4;1;3
85;MESAS  REDONDO;;85;;A;;3;4;1;4;1;3
86;BOLSAS  USADO;;86;;A;;2;3;1;4;1;3
87;HARINA DE 50 KG   LEUDANTE;;87;;A;;1;2;1;2;1;2
88;TRIGO 2019;;88;;A;;3;4;1;1;1;2
89;PARILLA ELICTRICA;;89;;A;;3;1;1;4;1;3
90;TRIGO 2020;;90;;A;;3;4;1;1;1;2
91;BOLSAS DE 25 KG PANADERA;;91;;A;;4;1;1;1;1;3
92;HARINA DE TRIGO 25 KG 000 PANADERA;;92;;A;;1;1;1;2;1;2
93;SERVICIOS EMPAQUETADO;;93;;A;;3;4;1;4;1;3
94;MAQUINA EMPAQUETADORA;;94;;A;;3;4;1;4;1;3
95;TRIGO 2021;;95;;A;;3;4;1;1;1;2
96;BIDON DE 5 LTS PLASTICO;;96;;A;;3;4;1;4;1;3
97;SEMOLIN  POR KG;;97;;A;;1;2;1;2;1;2
98;ARTICULO AJUSTE DE INVENTARIO;;98;;A;;3;4;1;1;1;2
99;ARTICULO DE PRUEBA PARA ACOPIO;;99;;A;;3;4;1;1;1;2
100;HARINA X KG TIPO 000  FIDEERA;;100;;A;;1;1;1;2;1;2
101;BOLSAS BIGBAG FIDEERA;;101;;A;;4;1;1;1;1;3
102;BOLSA BIGBAG 0000;;102;;A;;4;2;1;1;1;3
103;HARINA  X KG TIPO 0000;;103;;A;;1;2;1;2;1;2
104;TRIGO 2022;;104;;A;;3;4;1;1;1;2
